t,x,y,z,battery
1783111625.904604,,,,100.0
1783111625.925972,-0.1888788640499115,0.0029637333936989307,0.7388177514076233,100.0
1783111625.9440289,-0.5358389616012573,0.0029759882017970085,2.103872060775757,100.0
1783111625.9637032,-0.8474011421203613,0.00269812042824924,3.340088129043579,100.0
1783111625.9838028,-1.1290332078933716,0.012727195397019386,4.451502799987793,100.0
1783111626.004072,-1.2603362798690796,0.013813357800245285,4.965858459472656,100.0
1783111626.0238159,-1.5007350444793701,0.01106379646807909,5.9226274490356445,100.0
1783111626.0447,-1.717185616493225,0.009287349879741669,6.7840962409973145,100.0
1783111626.0640461,-1.9134539365768433,0.008808494545519352,7.562955379486084,100.0
1783111626.0850308,-2.0945279598236084,0.007829226553440094,8.264217376708984,100.0
1783111626.104369,-2.2563111782073975,0.004019139800220728,8.897160530090332,100.0
1783111626.124276,-2.33117938041687,0.0024923691526055336,9.19064712524414,100.0
1783111626.1436858,-2.4704580307006836,,9.730311393737793,100.0
1783111626.164675,-2.5952579975128174,,10.221959114074707,100.0
1783111626.184309,-2.653761148452759,,10.449223518371582,100.0
1783111626.205428,-2.76143479347229,,10.867676734924316,100.0
1783111626.2247932,-2.8583476543426514,,11.246164321899414,100.0
1783111626.244033,-2.945669651031494,,11.588210105895996,100.0
1783111626.264385,-2.9842472076416016,,11.746264457702637,100.0
1783111626.283951,-3.059046506881714,,12.039081573486328,100.0
1783111626.307435,-3.127087354660034,,12.304451942443848,100.0
1783111626.324696,-3.1881158351898193,,12.543915748596191,100.0
1783111626.345396,-3.215102195739746,,12.653708457946777,100.0
1783111626.3645592,-3.2676146030426025,0.00534918112680316,12.857662200927734,100.0
1783111626.384728,-3.3134660720825195,0.009045788086950779,13.042644500732422,100.0
1783111626.404248,-3.356273651123047,0.006595592014491558,13.207500457763672,100.0
1783111626.423688,-3.393528938293457,0.0018852008506655693,13.359573364257812,100.0
1783111626.443719,-3.412262201309204,0.0008383895037695765,13.428805351257324,100.0
1783111626.464951,-3.446085214614868,,13.560019493103027,100.0
1783111626.484031,-3.475651502609253,,13.67613697052002,100.0
1783111626.5052202,-3.5020642280578613,,13.781804084777832,100.0
1783111626.524329,-3.5254311561584473,,13.875747680664062,100.0
1783111626.544822,-3.535337209701538,,13.921024322509766,100.0
